term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
treatment,CTRL,AZT,0,0.9810714285714285,-1.2599201348111966,3.2220629919540538,0.714,ns
treatment,CTRL,ERY,0,1.391071428571428,-0.8499201348111971,3.6320629919540535,0.395,ns
treatment,CTRL,SFX,0,0.8970833333333318,-1.2679202020006475,3.0620868686673113,0.753,ns
treatment,CTRL,ALL,0,3.407738095238093,1.166746531855468,5.648729658620718,0.00102,**
treatment,AZT,ERY,0,0.4099999999999996,-1.9044861343925952,2.7244861343925946,0.986,ns
treatment,AZT,SFX,0,-0.0839880952380967,-2.324979658620722,2.1570034681445285,1,ns
treatment,AZT,ALL,0,2.4266666666666645,0.11218053227406966,4.741152801059259,0.0361,*
treatment,ERY,SFX,0,-0.4939880952380963,-2.7349796586207216,1.7470034681445288,0.968,ns
treatment,ERY,ALL,0,2.016666666666665,-0.29781946772593004,4.331152801059259,0.112,ns
treatment,SFX,ALL,0,2.5106547619047612,0.26966319852213605,4.751646325287386,0.0219,*
