ind,ab_trt,temp_trt,repro_sum
13,NONE,11C,0
14,NONE,11C,0
15,NONE,11C,0
16,NONE,11C,0
17,NONE,11C,0
18,NONE,11C,0
19,NONE,11C,0
20,NONE,11C,0
21,NONE,11C,0
22,NONE,11C,0
23,NONE,11C,0
24,NONE,11C,0
25,NONE,11C,0
26,NONE,11C,0
27,NONE,11C,0
28,NONE,11C,0
29,NONE,11C,0
30,NONE,11C,0
31,NONE,11C,0
32,NONE,11C,0
33,NONE,11C,0
34,NONE,11C,0
35,NONE,11C,0
36,NONE,11C,0
37,NONE,11C,0
38,NONE,11C,0
39,NONE,11C,0
40,NONE,11C,0
41,NONE,11C,0
42,NONE,11C,0
43,NONE,11C,0
44,NONE,11C,0
45,NONE,11C,0
46,NONE,11C,0
47,NONE,11C,0
48,NONE,11C,0
1,AZT,11C,0
2,AZT,11C,0
3,AZT,11C,0
4,AZT,11C,0
5,AZT,11C,0
6,AZT,11C,0
7,AZT,11C,0
8,AZT,11C,0
9,AZT,11C,0
10,AZT,11C,0
11,AZT,11C,0
12,AZT,11C,0
13,AZT,11C,0
14,AZT,11C,0
15,AZT,11C,0
16,AZT,11C,0
17,AZT,11C,0
18,AZT,11C,0
19,AZT,11C,0
20,AZT,11C,0
21,AZT,11C,0
22,AZT,11C,0
23,AZT,11C,0
24,AZT,11C,0
25,AZT,11C,0
26,AZT,11C,0
27,AZT,11C,13
28,AZT,11C,0
29,AZT,11C,0
30,AZT,11C,0
31,AZT,11C,0
32,AZT,11C,0
33,AZT,11C,0
34,AZT,11C,0
35,AZT,11C,0
36,AZT,11C,0
37,AZT,11C,0
38,AZT,11C,0
39,AZT,11C,0
40,AZT,11C,0
41,AZT,11C,0
42,AZT,11C,0
43,AZT,11C,0
44,AZT,11C,0
45,AZT,11C,0
46,AZT,11C,0
47,AZT,11C,0
48,AZT,11C,0
1,ERY,11C,0
2,ERY,11C,0
3,ERY,11C,0
4,ERY,11C,0
5,ERY,11C,0
6,ERY,11C,0
7,ERY,11C,0
8,ERY,11C,0
9,ERY,11C,0
10,ERY,11C,0
11,ERY,11C,0
12,ERY,11C,0
13,ERY,11C,0
14,ERY,11C,0
15,ERY,11C,0
16,ERY,11C,0
17,ERY,11C,0
18,ERY,11C,0
19,ERY,11C,0
20,ERY,11C,0
21,ERY,11C,0
22,ERY,11C,0
23,ERY,11C,0
24,ERY,11C,0
25,ERY,11C,0
26,ERY,11C,0
27,ERY,11C,0
28,ERY,11C,0
29,ERY,11C,0
30,ERY,11C,0
31,ERY,11C,0
32,ERY,11C,0
33,ERY,11C,0
34,ERY,11C,0
35,ERY,11C,0
36,ERY,11C,0
37,ERY,11C,0
38,ERY,11C,0
39,ERY,11C,0
40,ERY,11C,0
41,ERY,11C,0
42,ERY,11C,0
43,ERY,11C,0
44,ERY,11C,0
45,ERY,11C,0
46,ERY,11C,0
47,ERY,11C,0
48,ERY,11C,0
1,SFX,11C,0
2,SFX,11C,0
3,SFX,11C,0
4,SFX,11C,0
5,SFX,11C,0
6,SFX,11C,0
7,SFX,11C,0
8,SFX,11C,0
9,SFX,11C,0
10,SFX,11C,0
11,SFX,11C,0
12,SFX,11C,0
13,SFX,11C,0
14,SFX,11C,0
15,SFX,11C,0
16,SFX,11C,0
17,SFX,11C,0
18,SFX,11C,0
19,SFX,11C,0
20,SFX,11C,0
21,SFX,11C,0
22,SFX,11C,0
23,SFX,11C,0
24,SFX,11C,0
25,SFX,11C,0
26,SFX,11C,0
27,SFX,11C,0
28,SFX,11C,0
29,SFX,11C,0
30,SFX,11C,0
31,SFX,11C,0
32,SFX,11C,0
33,SFX,11C,0
34,SFX,11C,0
35,SFX,11C,0
36,SFX,11C,0
37,SFX,11C,0
38,SFX,11C,0
39,SFX,11C,0
40,SFX,11C,0
41,SFX,11C,0
42,SFX,11C,0
43,SFX,11C,0
44,SFX,11C,0
45,SFX,11C,0
46,SFX,11C,0
47,SFX,11C,0
48,SFX,11C,0
1,ALL,11C,0
2,ALL,11C,0
3,ALL,11C,0
4,ALL,11C,0
5,ALL,11C,0
6,ALL,11C,0
7,ALL,11C,0
8,ALL,11C,0
9,ALL,11C,0
10,ALL,11C,0
11,ALL,11C,0
12,ALL,11C,0
13,ALL,11C,0
14,ALL,11C,0
15,ALL,11C,0
16,ALL,11C,0
17,ALL,11C,0
18,ALL,11C,0
19,ALL,11C,0
20,ALL,11C,0
21,ALL,11C,0
22,ALL,11C,0
23,ALL,11C,0
24,ALL,11C,0
25,ALL,11C,0
26,ALL,11C,0
27,ALL,11C,0
28,ALL,11C,0
29,ALL,11C,0
30,ALL,11C,0
31,ALL,11C,0
32,ALL,11C,0
33,ALL,11C,0
34,ALL,11C,0
35,ALL,11C,0
36,ALL,11C,0
37,ALL,11C,0
38,ALL,11C,0
39,ALL,11C,0
40,ALL,11C,0
41,ALL,11C,0
42,ALL,11C,0
43,ALL,11C,0
44,ALL,11C,0
45,ALL,11C,0
46,ALL,11C,0
47,ALL,11C,0
48,ALL,11C,0
