cq,treatment,gene,sample,replicate,plate
19.47,ALL,actin,5,1,3
19.26,ERY,actin,5,2,3
19.48,ALL,actin,5,2,3
18.7,ERY,actin,5,3,3
19.47,ALL,actin,5,3,3
22.89,CTRL,16s,6,1,2
22.63,AZT,16s,6,1,2
23.15,SFX,16s,6,1,2
22.34,CTRL,16s,6,2,2
22.39,AZT,16s,6,2,2
23.1,SFX,16s,6,2,2
23.12,CTRL,16s,6,3,2
23.95,AZT,16s,6,3,2
23.82,SFX,16s,6,3,2
21.15,CTRL,actin,6,1,2
21.21,AZT,actin,6,1,2
19.98,SFX,actin,6,1,2
20.64,CTRL,actin,6,2,2
21.61,AZT,actin,6,2,2
19.82,SFX,actin,6,2,2
20.76,CTRL,actin,6,3,2
22.29,AZT,actin,6,3,2
19.66,SFX,actin,6,3,2
21.67,ERY,16s,6,1,3
25.51,ALL,16s,6,1,3
22.48,ERY,16s,6,2,3
26.54,ALL,16s,6,2,3
22.91,ERY,16s,6,3,3
27.03,ALL,16s,6,3,3
18.37,ERY,actin,6,1,3
19.21,ALL,actin,6,1,3
18.74,ERY,actin,6,2,3
19.28,ALL,actin,6,2,3
18.39,ERY,actin,6,3,3
19.33,ALL,actin,6,3,3
20.65,CTRL,16s,7,1,2
22.67,AZT,16s,7,1,2
20.25,CTRL,16s,7,2,2
22.13,AZT,16s,7,2,2
20.13,CTRL,16s,7,3,2
22.94,AZT,16s,7,3,2
19.94,CTRL,actin,7,1,2
20.77,AZT,actin,7,1,2
19.67,CTRL,actin,7,2,2
20.72,AZT,actin,7,2,2
19.86,CTRL,actin,7,3,2
20.34,AZT,actin,7,3,2
23.88,SFX,16s,7,1,3
21.95,ERY,16s,7,1,3
25.28,ALL,16s,7,1,3
23.29,SFX,16s,7,2,3
22.63,ERY,16s,7,2,3
25.71,ALL,16s,7,2,3
23.51,SFX,16s,7,3,3
22.07,ERY,16s,7,3,3
25.98,ALL,16s,7,3,3
19,SFX,actin,7,1,3
19.01,ERY,actin,7,1,3
21,ALL,actin,7,1,3
19.55,SFX,actin,7,2,3
19.14,ERY,actin,7,2,3
19.5,ALL,actin,7,2,3
18.82,SFX,actin,7,3,3
19.12,ERY,actin,7,3,3
19.83,ALL,actin,7,3,3
22.01,CTRL,16s,8,1,2
23.51,AZT,16s,8,1,2
22.39,CTRL,16s,8,2,2
23.25,AZT,16s,8,2,2
22.34,CTRL,16s,8,3,2
23.12,AZT,16s,8,3,2
21.27,CTRL,actin,8,1,2
20.26,AZT,actin,8,1,2
21.22,CTRL,actin,8,2,2
20.23,AZT,actin,8,2,2
20.89,CTRL,actin,8,3,2
20.36,AZT,actin,8,3,2
22.99,SFX,16s,8,1,3
22.74,ERY,16s,8,1,3
24.93,ALL,16s,8,1,3
23.38,SFX,16s,8,2,3
23.08,ERY,16s,8,2,3
25.66,ALL,16s,8,2,3
23.11,SFX,16s,8,3,3
22.47,ERY,16s,8,3,3
25.83,ALL,16s,8,3,3
19.55,SFX,actin,8,1,3
19.41,ERY,actin,8,1,3
19.45,ALL,actin,8,1,3
19.55,SFX,actin,8,2,3
19.72,ERY,actin,8,2,3
19.46,ALL,actin,8,2,3
19.42,SFX,actin,8,3,3
19.34,ERY,actin,8,3,3
19.51,ALL,actin,8,3,3
