ind,ab_trt,temp_trt,size_begin,size_end
29,ALL,11C,1.414,3.556
30,ALL,11C,0.959,3.405
31,ALL,11C,0.987,3.171
32,ALL,11C,1.219,3.775
33,ALL,11C,0.919,3.436
34,ALL,11C,0.939,3.093
35,ALL,11C,1.235,3.355
36,ALL,11C,0.973,3.021
37,ALL,11C,0.847,3.491
38,ALL,11C,1.459,2.176
39,ALL,11C,1.01,3.764
40,ALL,11C,0.939,3.766
41,ALL,11C,1.283,2.874
42,ALL,11C,1.298,3.828
43,ALL,11C,0.983,3.279
44,ALL,11C,0.992,3.325
45,ALL,11C,0.901,3.373
46,ALL,11C,0.835,3.586
47,ALL,11C,1.486,3.045
48,ALL,11C,0.991,3.259
1,ALL,19C,1.367,3.863
2,ALL,19C,1.088,4.044
3,ALL,19C,1.317,3.828
4,ALL,19C,0.984,3.795
5,ALL,19C,1.189,3.787
6,ALL,19C,1.181,3.632
7,ALL,19C,0.961,3.676
8,ALL,19C,0.888,3.529
9,ALL,19C,1.251,3.568
10,ALL,19C,0.976,3.71
11,ALL,19C,1.068,3.748
12,ALL,19C,0.926,3.676
13,ALL,19C,0.95,3.769
15,ALL,19C,1.254,3.77
16,ALL,19C,0.896,2.707
17,ALL,19C,0.896,3.643
18,ALL,19C,1.113,3.753
19,ALL,19C,0.873,3.88
20,ALL,19C,1.127,3.71
21,ALL,19C,1.049,3.627
23,ALL,19C,0.906,3.574
24,ALL,19C,1.783,3.775
25,ALL,19C,0.932,4.024
26,ALL,19C,1.186,3.872
27,ALL,19C,0.789,3.708
28,ALL,19C,1.285,3.796
29,ALL,19C,1.332,3.805
30,ALL,19C,0.825,2.642
31,ALL,19C,1.007,3.666
32,ALL,19C,1.291,3.217
33,ALL,19C,1.122,3.683
34,ALL,19C,0.931,3.835
35,ALL,19C,1.505,3.655
36,ALL,19C,0.81,3.938
37,ALL,19C,0.972,3.649
38,ALL,19C,1.169,2.616
39,ALL,19C,1.214,3.711
40,ALL,19C,0.928,4.047
41,ALL,19C,0.99,3.576
42,ALL,19C,0.979,3.841
43,ALL,19C,0.894,3.812
44,ALL,19C,1.1,4.05
45,ALL,19C,0.895,3.603
47,ALL,19C,1.017,3.508
48,ALL,19C,0.966,3.004
1,NONE,11C,0.876,2.844
2,NONE,11C,1.293,3.306
